count,date
182599,2016-11-15
91597,2016-11-16
105936,2016-11-17
79996,2016-11-18
42285,2016-11-19
41822,2016-11-20
94092,2016-11-21
97710,2016-11-22
120046,2016-11-23
87947,2016-11-24
135109,2016-11-25
100936,2016-11-26
71914,2016-11-27
120023,2016-11-28
199478,2016-11-29
180329,2016-11-30
127623,2016-12-01
206687,2016-12-02
33936,2016-12-03
102331,2016-12-04
158034,2016-12-05
144895,2016-12-06
84789,2016-12-07
99862,2016-12-08
114485,2016-12-09
39455,2016-12-10
34611,2016-12-11
126346,2016-12-12
109015,2016-12-13
139998,2016-12-14
121790,2016-12-15
97629,2016-12-16
52377,2016-12-17
35748,2016-12-18
103420,2016-12-19
95123,2016-12-20
88875,2016-12-21
99181,2016-12-22
149061,2016-12-23
24270,2016-12-24
21944,2016-12-25
105227,2016-12-26
108452,2016-12-27
116106,2016-12-28
76599,2016-12-29
69653,2016-12-30
26303,2016-12-31
18315,2017-01-01
29573,2017-01-02
77556,2017-01-03
59988,2017-01-04
37599,2017-01-05
53558,2017-01-06
23175,2017-01-07
16965,2017-01-08
67860,2017-01-09
74727,2017-01-10
85797,2017-01-11
107187,2017-01-12
96194,2017-01-13
28493,2017-01-14
39384,2017-01-15
135885,2017-01-16
108985,2017-01-17
91298,2017-01-18
73773,2017-01-19
97749,2017-01-20
20415,2017-01-21
37178,2017-01-22
67241,2017-01-23
66044,2017-01-24
105139,2017-01-25
54123,2017-01-26
18635,2017-01-27
10470,2017-01-28
9595,2017-01-29
12728,2017-01-30
28044,2017-01-31
42653,2017-02-01
41850,2017-02-02
87593,2017-02-03
48972,2017-02-04
46356,2017-02-05
154011,2017-02-06
94088,2017-02-07
107789,2017-02-08
103481,2017-02-09
90292,2017-02-10
23246,2017-02-11
30979,2017-02-12
104822,2017-02-13
129219,2017-02-14
66907,2017-02-15
85289,2017-02-16
73765,2017-02-17
41357,2017-02-18
36195,2017-02-19
106858,2017-02-20
134144,2017-02-21
89252,2017-02-22
112763,2017-02-23
101727,2017-02-24
35001,2017-02-25
43548,2017-02-26
66852,2017-02-27
73128,2017-02-28
76434,2017-03-01
19745,2017-03-02
