close,date
79.16,2012-05-02
79.21,2012-05-03
79.51,2012-05-04
79.56,2012-05-07
79.87,2012-05-08
80.13,2012-05-09
80.22,2012-05-10
80.26,2012-05-11
80.68,2012-05-14
81.23,2012-05-15
81.42,2012-05-16
81.55,2012-05-17
81.09,2012-05-18
80.97,2012-05-21
81.65,2012-05-22
82.02,2012-05-23
82.28,2012-05-24
82.4,2012-05-25
82.21,2012-05-28
82.48,2012-05-29
83.07,2012-05-30
83.08,2012-05-31
82.89,2012-06-01
82.56,2012-06-04
82.79,2012-06-05
82.18,2012-06-06
82.26,2012-06-07
82.51,2012-06-08
82.67,2012-06-11
82.42,2012-06-12
82.19,2012-06-13
81.85,2012-06-14
81.59,2012-06-15
81.95,2012-06-18
81.39,2012-06-19
81.42,2012-06-20
82.3,2012-06-21
82.44,2012-06-25
82.39,2012-06-26
82.55,2012-06-27
82.72,2012-06-28
81.58,2012-06-29
81.87,2012-07-02
81.79,2012-07-03
82.17,2012-07-04
82.82,2012-07-05
83.28,2012-07-06
83.13,2012-07-09
83.38,2012-07-10
83.48,2012-07-11
83.63,2012-07-12
83.29,2012-07-13
83.13,2012-07-16
83.03,2012-07-17
82.98,2012-07-18
82.91,2012-07-19
83.49,2012-07-20
83.77,2012-07-23
84.02,2012-07-24
83.59,2012-07-25
82.85,2012-07-26
82.64,2012-07-27
82.81,2012-07-30
82.68,2012-07-31
83.1,2012-08-01
83.31,2012-08-02
82.32,2012-08-03
82.27,2012-08-06
82.28,2012-08-07
82.34,2012-08-08
82.6,2012-08-09
82.56,2012-08-10
82.43,2012-08-13
82.54,2012-08-14
82.67,2012-08-15
82.39,2012-08-16
82.55,2012-08-17
82.47,2012-08-20
81.89,2012-08-21
81.49,2012-08-22
81.37,2012-08-23
81.62,2012-08-24
81.68,2012-08-27
81.34,2012-08-28
81.54,2012-08-29
81.69,2012-08-30
81.25,2012-08-31
81.21,2012-09-03
81.34,2012-09-04
81.23,2012-09-05
81.11,2012-09-06
80.17,2012-09-07
80.41,2012-09-10
79.89,2012-09-11
79.69,2012-09-12
79.26,2012-09-13
78.84,2012-09-14
78.95,2012-09-17
