close,date
20.04,2010-01-04
19.35,2010-01-05
19.16,2010-01-06
19.06,2010-01-07
18.13,2010-01-08
17.55,2010-01-11
18.25,2010-01-12
17.85,2010-01-13
17.63,2010-01-14
17.91,2010-01-15
17.91,2010-01-18
17.58,2010-01-19
18.68,2010-01-20
22.27,2010-01-21
27.31,2010-01-22
25.41,2010-01-25
24.55,2010-01-26
23.14,2010-01-27
23.73,2010-01-28
24.62,2010-01-29
22.59,2010-02-01
21.48,2010-02-02
21.6,2010-02-03
26.08,2010-02-04
26.11,2010-02-05
26.51,2010-02-08
26.0,2010-02-09
25.4,2010-02-10
23.96,2010-02-11
22.73,2010-02-12
19.94,2010-02-22
21.37,2010-02-23
20.27,2010-02-24
20.1,2010-02-25
19.5,2010-02-26
19.26,2010-03-01
19.06,2010-03-02
18.83,2010-03-03
18.72,2010-03-04
17.42,2010-03-05
17.79,2010-03-08
17.92,2010-03-09
18.57,2010-03-10
18.06,2010-03-11
17.58,2010-03-12
18.0,2010-03-15
17.69,2010-03-16
16.91,2010-03-17
16.62,2010-03-18
16.97,2010-03-19
16.87,2010-03-22
16.35,2010-03-23
17.55,2010-03-24
18.4,2010-03-25
17.77,2010-03-26
17.59,2010-03-29
17.13,2010-03-30
17.59,2010-03-31
17.47,2010-04-01
17.47,2010-04-02
16.23,2010-04-06
16.62,2010-04-07
16.48,2010-04-08
16.14,2010-04-09
15.58,2010-04-12
16.2,2010-04-13
15.59,2010-04-14
15.89,2010-04-15
18.36,2010-04-16
17.34,2010-04-19
15.73,2010-04-20
16.32,2010-04-21
16.47,2010-04-22
16.62,2010-04-23
17.47,2010-04-26
22.81,2010-04-27
21.08,2010-04-28
18.44,2010-04-29
22.05,2010-04-30
23.84,2010-05-04
24.91,2010-05-05
32.8,2010-05-06
40.95,2010-05-07
28.84,2010-05-10
28.32,2010-05-11
25.52,2010-05-12
26.68,2010-05-13
31.24,2010-05-14
30.84,2010-05-17
33.55,2010-05-18
35.32,2010-05-19
45.79,2010-05-20
40.1,2010-05-21
38.32,2010-05-24
34.61,2010-05-25
35.02,2010-05-26
29.68,2010-05-27
32.07,2010-05-28
32.07,2010-05-31
35.54,2010-06-01
30.17,2010-06-02
29.46,2010-06-03
35.48,2010-06-04
36.57,2010-06-07
33.7,2010-06-08
33.73,2010-06-09
30.57,2010-06-10
28.79,2010-06-11
25.05,2010-06-17
23.95,2010-06-18
24.88,2010-06-21
27.05,2010-06-22
26.91,2010-06-23
29.74,2010-06-24
28.53,2010-06-25
29.0,2010-06-28
34.13,2010-06-29
34.54,2010-06-30
32.86,2010-07-01
30.12,2010-07-02
30.12,2010-07-05
29.65,2010-07-06
26.84,2010-07-07
25.71,2010-07-08
24.98,2010-07-09
24.43,2010-07-12
24.56,2010-07-13
24.89,2010-07-14
25.14,2010-07-15
26.25,2010-07-16
25.97,2010-07-19
23.93,2010-07-20
25.64,2010-07-21
24.63,2010-07-22
23.47,2010-07-23
22.73,2010-07-26
23.19,2010-07-27
24.25,2010-07-28
24.13,2010-07-29
23.5,2010-07-30
22.01,2010-08-02
22.63,2010-08-03
22.21,2010-08-04
22.1,2010-08-05
21.74,2010-08-06
22.14,2010-08-09
22.37,2010-08-10
25.39,2010-08-11
25.73,2010-08-12
26.24,2010-08-13
26.1,2010-08-16
24.33,2010-08-17
24.59,2010-08-18
26.44,2010-08-19
25.49,2010-08-20
25.66,2010-08-23
27.46,2010-08-24
26.7,2010-08-25
27.37,2010-08-26
24.45,2010-08-27
27.21,2010-08-30
26.05,2010-08-31
23.89,2010-09-01
23.19,2010-09-02
21.31,2010-09-03
21.31,2010-09-06
23.8,2010-09-07
23.25,2010-09-08
22.81,2010-09-09
21.99,2010-09-10
21.21,2010-09-13
21.56,2010-09-14
22.1,2010-09-15
21.72,2010-09-16
22.01,2010-09-17
21.5,2010-09-20
22.35,2010-09-21
22.54,2010-09-27
22.6,2010-09-28
23.25,2010-09-29
23.7,2010-09-30
20.71,2010-10-08
18.96,2010-10-11
18.93,2010-10-12
19.07,2010-10-13
19.88,2010-10-14
19.03,2010-10-15
19.09,2010-10-18
20.63,2010-10-19
19.79,2010-10-20
19.27,2010-10-21
18.78,2010-10-22
19.85,2010-10-25
20.22,2010-10-26
20.71,2010-10-27
20.88,2010-10-28
21.2,2010-10-29
21.83,2010-11-01
21.57,2010-11-02
19.56,2010-11-03
18.52,2010-11-04
18.26,2010-11-05
18.29,2010-11-08
19.08,2010-11-09
18.47,2010-11-10
18.64,2010-11-11
20.61,2010-11-12
20.2,2010-11-15
22.58,2010-11-16
21.76,2010-11-17
18.75,2010-11-18
18.04,2010-11-19
18.37,2010-11-22
20.63,2010-11-23
19.56,2010-11-24
19.56,2010-11-25
22.22,2010-11-26
21.53,2010-11-29
23.54,2010-11-30
21.36,2010-12-01
19.39,2010-12-02
18.01,2010-12-03
18.02,2010-12-06
17.99,2010-12-07
17.74,2010-12-08
17.25,2010-12-09
17.61,2010-12-10
17.55,2010-12-13
17.61,2010-12-14
17.94,2010-12-15
17.39,2010-12-16
16.11,2010-12-17
16.41,2010-12-20
16.49,2010-12-21
15.45,2010-12-22
16.47,2010-12-23
16.47,2010-12-24
17.67,2010-12-27
17.52,2010-12-28
17.28,2010-12-29
17.52,2010-12-30
17.75,2010-12-31
17.38,2011-01-04
17.02,2011-01-05
17.4,2011-01-06
17.14,2011-01-07
17.54,2011-01-10
16.89,2011-01-11
16.24,2011-01-12
16.39,2011-01-13
15.46,2011-01-14
15.46,2011-01-17
15.87,2011-01-18
17.31,2011-01-19
17.99,2011-01-20
18.47,2011-01-21
17.65,2011-01-24
17.59,2011-01-25
16.64,2011-01-26
16.15,2011-01-27
20.04,2011-01-28
19.53,2011-01-31
17.63,2011-02-01
15.87,2011-02-09
16.09,2011-02-10
15.69,2011-02-11
15.95,2011-02-14
16.37,2011-02-15
16.72,2011-02-16
16.59,2011-02-17
16.43,2011-02-18
16.43,2011-02-21
20.8,2011-02-22
22.13,2011-02-23
21.32,2011-02-24
19.22,2011-02-25
18.35,2011-02-28
21.01,2011-03-01
