close,date
6.828,2010-01-04
6.8268,2010-01-05
6.8278,2010-01-06
6.8278,2010-01-07
6.8276,2010-01-08
6.8243,2010-01-11
6.827,2010-01-12
6.8298,2010-01-13
6.8269,2010-01-14
6.827,2010-01-15
6.827,2010-01-18
6.8278,2010-01-19
6.827,2010-01-20
6.8268,2010-01-21
6.827,2010-01-22
6.8279,2010-01-25
6.8266,2010-01-26
6.8278,2010-01-27
6.8279,2010-01-28
6.8278,2010-01-29
6.8274,2010-02-01
6.8271,2010-02-02
6.827,2010-02-03
6.8285,2010-02-04
6.8285,2010-02-05
6.8266,2010-02-08
6.8267,2010-02-09
6.8285,2010-02-10
6.8337,2010-02-11
6.8334,2010-02-12
6.8274,2010-02-22
6.8272,2010-02-23
6.8269,2010-02-24
6.8269,2010-02-25
6.8261,2010-02-26
6.8264,2010-03-01
6.8266,2010-03-02
6.8259,2010-03-03
6.8263,2010-03-04
6.8265,2010-03-05
6.8264,2010-03-08
6.8265,2010-03-09
6.8262,2010-03-10
6.8266,2010-03-11
6.8259,2010-03-12
6.8261,2010-03-15
6.826,2010-03-16
6.8259,2010-03-17
6.8259,2010-03-18
6.8266,2010-03-19
6.8266,2010-03-22
6.8265,2010-03-23
6.8266,2010-03-24
6.8273,2010-03-25
6.827,2010-03-26
6.8267,2010-03-29
6.8274,2010-03-30
6.8259,2010-03-31
6.8264,2010-04-01
6.8257,2010-04-02
6.8257,2010-04-06
6.8254,2010-04-07
6.824,2010-04-08
6.8231,2010-04-09
6.8255,2010-04-12
6.8255,2010-04-13
6.8258,2010-04-14
6.8261,2010-04-15
6.8258,2010-04-16
6.8262,2010-04-19
6.8254,2010-04-20
6.8276,2010-04-21
6.8264,2010-04-22
6.8264,2010-04-23
6.8268,2010-04-26
6.8257,2010-04-27
6.8259,2010-04-28
6.8259,2010-04-29
6.8253,2010-04-30
6.8265,2010-05-04
6.8264,2010-05-05
6.8266,2010-05-06
6.8259,2010-05-07
6.8267,2010-05-10
6.8293,2010-05-11
6.8283,2010-05-12
6.8278,2010-05-13
6.8266,2010-05-14
6.8276,2010-05-17
6.8275,2010-05-18
6.8274,2010-05-19
6.8277,2010-05-20
6.8262,2010-05-21
6.8287,2010-05-24
6.8316,2010-05-25
6.8304,2010-05-26
6.8313,2010-05-27
6.8316,2010-05-28
6.8279,2010-05-31
6.8304,2010-06-01
6.8304,2010-06-02
6.8284,2010-06-03
6.8287,2010-06-04
6.8305,2010-06-07
6.8296,2010-06-08
6.8282,2010-06-09
6.8307,2010-06-10
6.8323,2010-06-11
6.8293,2010-06-17
6.8262,2010-06-18
6.797,2010-06-21
6.8133,2010-06-22
6.8119,2010-06-23
6.7997,2010-06-24
6.79,2010-06-25
6.7959,2010-06-28
6.7979,2010-06-29
6.7817,2010-06-30
6.781,2010-07-01
6.7716,2010-07-02
6.776,2010-07-05
6.7805,2010-07-06
6.7774,2010-07-07
6.7763,2010-07-08
6.7729,2010-07-09
6.771,2010-07-12
6.7722,2010-07-13
6.7716,2010-07-14
6.778,2010-07-15
6.7752,2010-07-16
6.7782,2010-07-19
6.7783,2010-07-20
6.7783,2010-07-21
6.7797,2010-07-22
6.7803,2010-07-23
6.7791,2010-07-26
6.7783,2010-07-27
6.7782,2010-07-28
6.7763,2010-07-29
6.774,2010-07-30
6.7743,2010-08-02
6.7733,2010-08-03
6.7725,2010-08-04
6.7715,2010-08-05
6.7683,2010-08-06
6.7674,2010-08-09
6.7722,2010-08-10
6.7749,2010-08-11
6.7848,2010-08-12
6.7959,2010-08-13
6.8041,2010-08-16
6.7923,2010-08-17
6.7916,2010-08-18
6.7907,2010-08-19
6.7908,2010-08-20
6.7985,2010-08-23
6.7969,2010-08-24
6.7996,2010-08-25
6.7991,2010-08-26
6.798,2010-08-27
6.8033,2010-08-30
6.8076,2010-08-31
6.8109,2010-09-01
6.8077,2010-09-02
6.8033,2010-09-03
6.7879,2010-09-06
6.7914,2010-09-07
6.7942,2010-09-08
