date,value,return,position,str_return,acc_return
2010-12-31,0.96650043336518376,,,,
2011-01-31,0.97915897016086517,0.013097290346375301,,,
2011-02-28,0.99200224861681763,0.013116642799935185,,,
2011-03-31,0.98201178838959879,-0.0100710056263974,,,
2011-04-29,0.99162357582023675,0.0097878534089701485,,,
2011-05-31,1.0074150107478836,0.015924828042319206,,,
2011-06-30,1.022162735716726,0.014639175326456533,,,
2011-07-29,1.0191031074136252,-0.0029932888337544927,,,
2011-08-31,1.0209091147362286,0.0017721536804915505,,,
2011-09-30,1.0182134446469162,-0.0026404603998553267,,,
2011-10-31,1.0130603923308512,-0.0050608763252502076,,,
2011-11-30,0.97925415830291929,-0.033370403466421616,,,
2011-12-30,0.99382035424401771,0.014874785894544607,,,
2012-01-31,0.99525006752062961,0.0014386033356093009,1,0.0014386033356093009,1.0014386033356093
2012-02-29,0.98466382391379481,-0.010636767534422109,1,-0.010636767534422109,0.99078653371193204
2012-03-30,0.98941036782532787,0.0048204715114512631,1,0.0048204715114512631,0.99556259197162
2012-04-30,0.98740634604581357,-0.0020254707699486341,1,-0.0020254707699486341,0.99354610904192719
2012-05-31,0.98358864798937706,-0.0038663900345839997,1,-0.0038663900345839997,0.98970467226702774
2012-06-29,0.99813854678508063,0.014792666452023484,1,0.014792666452023484,1.0043450433698831
2012-07-31,0.9969117018686775,-0.001229132889772333,1,-0.001229132889772333,1.0031105698443974
2012-08-31,0.99398052351066868,-0.0029402587536232483,1,-0.0029402587536232483,1.0001611652105604
2012-09-28,1.0122509633073142,0.018381084301446471,1,0.018381084301446471,1.0185452119033287
2012-10-31,1.019001767541593,0.0066691013187303305,1,0.0066691013187303305,1.0253379931192197
2012-11-30,1.0305539888621,0.01133680204341303,1,0.01133680204341303,1.0369620469748027
2012-12-31,1.0483818050803082,0.017299254974397771,1,0.017299254974397771,1.0549007178241931
2013-01-31,1.0476686416642729,-0.00068025161499318809,1,-0.00068025161499318809,1.0541831199072358
2013-02-28,1.0794256344101505,0.030312058109737805,1,0.030312058109737805,1.0861375798961685
2013-03-29,1.0776034869659534,-0.0016880713095096533,1,-0.0016880713095096533,1.0843041022093656
2013-04-30,1.0686219842061286,-0.0083347009066504496,1,-0.0083347009066504496,1.0752667518255963
2013-05-31,1.0573054723382225,-0.010589817573623206,1,-0.010589817573623206,1.0638798730807808
2013-06-28,1.076831567656799,0.018467789895567854,1,0.018467789895567854,1.08352738305096
2013-07-31,1.0786184273113222,0.0016593678233369769,1,0.0016593678233369769,1.0853253535260992
2013-08-30,1.0765708160552838,-0.001898364800926311,1,-0.001898364800926311,1.0832650100774124
2013-09-30,1.0828936671873572,0.0058731400087932428,1,0.0058731400087932428,1.0896271771482238
2013-10-31,1.0677113825622984,-0.014020106576569491,1,-0.014020106576569491,1.0743504879958792
2013-11-29,1.0674549073928263,-0.00024021020442488439,1,-0.00024021020442488439,1.0740924180455338
2013-12-31,1.0816451911941325,0.013293567440675114,1,0.013293567440675114,1.0883709380423399
2014-01-31,1.0693463367115157,-0.011370507244652828,1,-0.011370507244652828,1.0759956084064599
2014-02-28,1.0816888738404147,0.011542132520746318,1,0.011542132520746318,1.0884148923104284
2014-03-31,1.078843865196716,-0.0026301543008367956,1,-0.0026301543008367956,1.0855521932003234
2014-04-30,1.0789383309481615,8.7562023099785335e-05,1,8.7562023099785335e-05,1.0856472463465403
2014-05-30,1.0795891490901832,0.00060320235490185503,1,0.00060320235490185503,1.0863021113221292
2014-06-30,1.0870499722823213,0.0069107986111434094,1,0.0069107986111434094,1.0938093264443363
2014-07-31,1.1002705346385087,0.012161871756852349,1,0.012161871756852349,1.1071120951990012
2014-08-29,1.113128012998988,0.011685742693003709,1,0.011685742693003709,1.1200495222758089
2014-09-30,1.1145781995680051,0.0013028030487796105,1,0.0013028030487796105,1.121508726208214
2014-10-31,1.1323650424502225,0.015958362445193552,1,0.015958362445193552,1.139406168946492
2014-11-28,1.1546995800202549,0.01972379641966393,1,0.01972379641966393,1.1618795842621019
2014-12-31,1.1801312949603897,0.022024529479510724,1,0.022024529479510724,1.1874694354173243
2015-01-30,1.1640626820105626,-0.013615953596389008,1,-0.013615953596389008,1.1713009066875517
2015-02-27,1.1661999932654659,0.0018360791802136678,1,0.0018360791802136678,1.1734515078960861
2015-03-31,1.1556527327129662,-0.0090441267479056675,1,-0.0090441267479056675,1.162838663726153
2015-04-30,1.1497368918618169,-0.0051190471702182716,1,-0.0051190471702182716,1.1568860377551853
2015-05-29,1.1513594598631214,0.0014112515765907219,1,0.0014112515765907219,1.1585186949999031
2015-06-30,1.228669542494399,0.067146781979338099,1,0.067146781979338099,1.236309497232049
2015-07-31,1.2290841535819785,0.00033744719246309174,1,0.00033744719246309174,1.2367266864009054
2015-08-31,1.2380016419164463,0.0072553928129974743,1,0.0072553928129974743,1.2456996243130607
2015-09-30,1.2473846754265236,0.0075791769512940643,1,0.0075791769512940643,1.25514100219389
2015-10-30,1.2476573251909389,0.00021857713164696868,1,0.00021857713164696868,1.255415347313962
2015-11-30,1.2509614319053175,0.002648248559653954,1,0.002648248559653954,1.2587399991992536
2015-12-31,1.2396084468944419,-0.0090754076994875588,1,-0.0090754076994875588,1.2473164205188678
2016-01-29,1.2797162901417212,0.032355251650438843,1,0.032355251650438843,1.2876736571924803
2016-02-29,1.2490850272580998,-0.023935979497634707,1,-0.023935979497634707,1.2568519269342768
2016-03-31,1.2497889755551899,0.00056357115947136549,1,0.00056357115947136549,1.2575602524320231
