symbol,name,AU01.SHF,AG01.SHF,CU01.SHF,SPTAUUSDOZ.IDC,881001.WI
000007.SZ,全新好,-0.0194160555162,-0.0261460511445,0.0744005338891,-0.00176289249825,0.086261049578
000060.SZ,中金岭南,0.0553224868837,0.262234024015,0.863663627437,0.036915252242,1.21957873908
000426.SZ,兴业矿业,0.444336620964,0.509704245987,0.529679810984,0.305795020454,0.448454390184
000603.SZ,盛达矿业,0.374620065873,0.59536448123,0.703627790381,0.0762285988478,1.15894229675
000612.SZ,焦作万方,0.157606950706,0.336900526736,0.357324709711,0.0439724837693,0.738842418846
000630.SZ,铜陵有色,-0.0377249623171,0.117198974525,0.582406398425,-0.444387305173,0.306924354775
000633.SZ,*ST合金,-0.000721730772206,0.139941583465,0.313804503851,-0.0839847922014,0.608771563513
000657.SZ,中钨高新,-0.0436180375813,0.244329991347,0.392162716771,-0.0747060068004,0.571658633334
000688.SZ,建新矿业,0.00536993971698,0.242281868912,0.499636413587,-0.102506066542,0.49237834342
000693.SZ,ST华泽,0.0365196755309,0.129645142317,0.239954248139,-0.00883795637598,0.686345978195
000697.SZ,炼石有色,-0.0857441610683,0.0872664170353,0.353859139617,-0.0892838580275,0.529564090765
000751.SZ,锌业股份,0.0325439543358,0.322967227541,0.849629400508,-0.090184449759,1.23186090538
000758.SZ,中色股份,0.329881521716,0.501771140852,0.747169824262,-0.258135426872,1.27091057791
000762.SZ,西藏矿业,-0.213510412075,0.259760365403,0.403858205713,-0.044729090023,1.27604182019
000807.SZ,云铝股份,-0.0500348431515,0.195807685754,0.705895205991,0.0545260288604,1.09123640696
000813.SZ,德展健康,-0.0251483554138,-0.047308675182,0.0562551220831,-0.0908014747175,0.223187451944
000831.SZ,*ST五稀,-0.095085458529,0.213880553724,0.520161784849,-0.0546011304675,1.11240933273
000878.SZ,云南铜业,0.00953638214306,0.219195761331,0.825347902992,-0.129387885312,0.641783731981
000960.SZ,锡业股份,0.0755325919531,0.305921327709,0.746360747628,0.0073946537074,1.06983546182
000962.SZ,*ST东钽,-0.160378114617,0.104984308685,0.366818862031,0.0817853768303,0.963198019586
000969.SZ,安泰科技,-0.262639152656,0.0656561091469,0.245140590006,-0.0964066490066,1.0982727333
000975.SZ,银泰资源,0.313513085597,0.341057081666,0.470559778105,0.36281154166,0.982071592064
002070.SZ,众和股份,-0.0461247867303,0.0265357188786,0.0786912174329,-0.31419865385,0.585050081528
002082.SZ,栋梁新材,-0.0700856306717,0.100452863015,0.197037976481,0.104952174647,0.829342665454
002114.SZ,罗平锌电,0.322254007281,0.453299463884,0.906280679539,0.0853012468312,1.03458678177
002149.SZ,西部材料,-0.316008209669,0.0996026184469,0.371920478898,-0.0654912732622,1.14750736427
002155.SZ,湖南黄金,1.27566804976,0.923111852867,0.310387352464,0.621971890159,0.892625905569
002160.SZ,常铝股份,0.0224288986498,0.190474363697,0.409896274366,0.0491622507247,1.0805939216
002167.SZ,东方锆业,-0.0699989660508,0.132571833108,0.257397306547,-0.228283183147,1.0773189543
002171.SZ,楚江新材,-0.00243223894995,0.252125552914,0.463012579473,-0.043855458602,1.14230244752
002182.SZ,云海金属,-0.169309080918,0.0777990553023,0.430374972722,-0.00264383779701,1.11308566338
002203.SZ,海亮股份,-0.00664062195326,0.0812476059566,0.237219485511,-0.0505718129166,0.421663314473
002237.SZ,恒邦股份,1.05064318596,0.752890279563,0.265926332233,0.695927267524,0.880577940205
002240.SZ,威华股份,-0.00468597048049,0.120104123697,0.151895436661,0.0261839858628,0.520369714276
002295.SZ,精艺股份,-0.148658623825,-0.00820948517454,0.333137266646,-0.301386198585,0.829781848456
002378.SZ,章源钨业,0.0915114659672,0.235165439751,0.483372548351,0.0763605910134,0.97868119072
002379.SZ,*ST鲁丰,0.0243924170133,0.0743934335907,0.131388367667,0.23015407332,0.514299242266
002428.SZ,云南锗业,-0.196096047628,0.144338397124,0.420068181556,-0.0492235834664,1.06246067732
002460.SZ,赣锋锂业,-0.819921715764,-0.105376275438,0.154173685548,-0.604582646047,1.18875721115
002466.SZ,天齐锂业,-0.358610310792,-0.00229642765564,0.169060522291,-0.0403991678213,1.13561693836
002501.SZ,利源精制,0.0231669588218,0.236000544539,0.303242431394,-0.0531829511699,1.12139860823
002540.SZ,亚太科技,-0.0543894033738,0.258501460468,0.41409671941,0.0381076595084,1.16390519424
002578.SZ,闽发铝业,-0.215704541559,0.113207079751,0.319682051462,-0.0812439374164,1.1772954911
002716.SZ,金贵银业,1.15800242371,1.07889934297,0.446996266005,0.790140654856,0.666131580711
002738.SZ,中矿资源,0.276329283633,0.435523937521,0.152216758164,0.606122525081,1.13514085212
002806.SZ,华锋股份,-0.198163383344,-0.181088694472,-0.206575776169,0.117207229571,0.745247317824
300328.SZ,宜安科技,-0.412618521806,0.148493453053,0.185355454603,0.0277323530726,1.17586547729
300337.SZ,银邦股份,0.0726585996605,0.143682629716,0.327671622635,0.0912470540372,1.15658500176
300428.SZ,四通新材,0.131166508877,0.58070363684,0.51257269972,0.125592162036,1.13363630601
600111.SH,北方稀土,0.00579622456389,0.286889801408,0.521082260689,0.000359953665667,0.995372020805
600139.SH,西部资源,0.019492975452,0.115392184693,0.208085289746,-0.0456249014697,0.469526355371
600219.SH,南山铝业,-0.100887512159,-0.00851613796468,0.354177638319,0.161765323106,0.850258180774
600255.SH,鑫科材料,-0.139990276863,0.0102448424247,0.240637532708,0.0224121041352,1.04770881845
600259.SH,广晟有色,0.0783755333495,0.331685641913,0.377826718413,-0.0704232775905,0.817984896588
