,close,return
2010-01-05 00:00:00.005,1106.1245,
2010-01-06 00:00:00.005,1106.1572,2.95626758111e-05
2010-01-07 00:00:00.005,1106.1945,3.37203428229e-05
2010-01-08 00:00:00.005,1106.2375,3.8872006686e-05
2010-01-11 00:00:00.005,1106.3348,8.79557961109e-05
2010-01-12 00:00:00.005,1106.3769,3.80535801638e-05
2010-01-13 00:00:00.005,1106.4147,3.4165572329e-05
2010-01-14 00:00:00.005,1106.4498,3.17240904337e-05
2010-01-15 00:00:00.005,1106.49,3.63324210459e-05
2010-01-18 00:00:00.005,1106.5934,9.34486529476e-05
2010-01-19 00:00:00.005,1106.6273,3.06345582759e-05
2010-01-20 00:00:00.005,1106.6709,3.93989918737e-05
2010-01-21 00:00:00.005,1106.7053,3.1084218443e-05
2010-01-22 00:00:00.005,1106.7653,5.42149748446e-05
2010-01-25 00:00:00.005,1106.8736,9.78527245117e-05
2010-01-26 00:00:00.005,1106.9241,4.56239989823e-05
2010-01-27 00:00:00.005,1106.9875,5.72758330946e-05
2010-01-28 00:00:00.005,1107.0501,5.65498707077e-05
2010-01-29 00:00:00.005,1107.0906,3.65837101681e-05
2010-02-01 00:00:00.005,1107.2094,0.000107308290758
2010-02-02 00:00:00.005,1107.2609,4.65133334309e-05
2010-02-03 00:00:00.005,1107.308,4.25374001738e-05
2010-02-04 00:00:00.005,1107.3583,4.5425482341e-05
2010-02-05 00:00:00.005,1107.4032,4.05469485349e-05
2010-02-08 00:00:00.005,1107.513,9.91508783792e-05
2010-02-09 00:00:00.005,1107.5528,3.5936372756e-05
2010-02-10 00:00:00.005,1107.5973,4.01786713915e-05
2010-02-11 00:00:00.005,1107.6387,3.73782059599e-05
2010-02-12 00:00:00.005,1107.6773,3.48489087643e-05
2010-02-22 00:00:00.005,1108.0444,0.000331414212424
2010-02-23 00:00:00.005,1108.0997,4.9907747379e-05
2010-02-24 00:00:00.005,1108.1369,3.35709864374e-05
2010-02-25 00:00:00.005,1108.1892,4.71963346766e-05
2010-02-26 00:00:00.005,1108.235,4.13286828638e-05
2010-03-01 00:00:00.005,1108.3453,9.95276272633e-05
2010-03-02 00:00:00.005,1108.3955,4.52927440575e-05
2010-03-03 00:00:00.005,1108.4396,3.97872420086e-05
2010-03-04 00:00:00.005,1108.4835,3.96052252194e-05
2010-03-05 00:00:00.005,1108.5365,4.78130707402e-05
2010-03-08 00:00:00.005,1108.6496,0.000102026410497
2010-03-09 00:00:00.005,1108.7046,4.96099037965e-05
2010-03-10 00:00:00.005,1108.775,6.34975267533e-05
2010-03-11 00:00:00.005,1108.85,6.76422177628e-05
2010-03-12 00:00:00.005,1108.8914,3.73359787167e-05
2010-03-15 00:00:00.005,1108.9978,9.59516865224e-05
2010-03-16 00:00:00.005,1109.0472,4.45447231725e-05
2010-03-17 00:00:00.005,1109.0932,4.14770444397e-05
2010-03-18 00:00:00.005,1109.1444,4.61638390714e-05
2010-03-19 00:00:00.005,1109.1953,4.58912293118e-05
2010-03-22 00:00:00.005,1109.3079,0.000101515035269
2010-03-23 00:00:00.005,1109.3748,6.03078730441e-05
2010-03-24 00:00:00.005,1109.4314,5.10197275077e-05
2010-03-25 00:00:00.005,1109.4876,5.06565795777e-05
2010-03-26 00:00:00.005,1109.5615,6.66073239575e-05
2010-03-29 00:00:00.005,1109.7436,0.000164118888408
2010-03-30 00:00:00.005,1109.8448,9.1192235756e-05
2010-03-31 00:00:00.005,1109.9163,6.44234220857e-05
2010-04-01 00:00:00.005,1109.9839,6.09054935041e-05
2010-04-02 00:00:00.005,1110.0266,3.84690264426e-05
2010-04-06 00:00:00.005,1110.2131,0.000168013991737
2010-04-07 00:00:00.005,1110.2688,5.01705483389e-05
2010-04-08 00:00:00.005,1110.336,6.05258834616e-05
2010-04-09 00:00:00.005,1110.3839,4.314009453e-05
2010-04-12 00:00:00.005,1110.5088,0.000112483619404
2010-04-13 00:00:00.005,1110.5557,4.22328936067e-05
2010-04-14 00:00:00.005,1110.6154,5.37568714474e-05
2010-04-15 00:00:00.005,1110.6693,4.85316519112e-05
2010-04-16 00:00:00.005,1110.716,4.20467190367e-05
2010-04-19 00:00:00.005,1110.8308,0.000103356753662
2010-04-20 00:00:00.005,1110.8796,4.39310829337e-05
2010-04-21 00:00:00.005,1110.9394,5.38312162721e-05
2010-04-22 00:00:00.005,1110.984,4.01462041943e-05
2010-04-23 00:00:00.005,1111.0323,4.34749735372e-05
2010-04-26 00:00:00.005,1111.1674,0.000121598624991
2010-04-27 00:00:00.005,1111.2365,6.21868496142e-05
2010-04-28 00:00:00.005,1111.2946,5.22840997392e-05
2010-04-29 00:00:00.005,1111.3455,4.58024361856e-05
2010-04-30 00:00:00.005,1111.3946,4.41806800857e-05
2010-05-04 00:00:00.005,1111.5618,0.000150441616326
2010-05-05 00:00:00.005,1111.635,6.58532885891e-05
2010-05-06 00:00:00.005,1111.6829,4.30896832144e-05
2010-05-07 00:00:00.005,1111.7419,5.30726882639e-05
2010-05-10 00:00:00.005,1111.8874,0.000130875700556
2010-05-11 00:00:00.005,1111.9399,4.72170113628e-05
2010-05-12 00:00:00.005,1112.0003,5.43194825546e-05
2010-05-13 00:00:00.005,1112.0551,4.92805622445e-05
2010-05-14 00:00:00.005,1112.1138,5.27851542609e-05
2010-05-17 00:00:00.005,1112.2326,0.000106823600247
2010-05-18 00:00:00.005,1112.2719,3.53343356416e-05
2010-05-19 00:00:00.005,1112.3227,4.56722857063e-05
2010-05-20 00:00:00.005,1112.3668,3.96467679749e-05
2010-05-21 00:00:00.005,1112.4212,4.89047317844e-05
2010-05-24 00:00:00.005,1112.5688,0.000132683555473
2010-05-25 00:00:00.005,1112.6165,4.2873753066e-05
2010-05-26 00:00:00.005,1112.6615,4.04452028169e-05
2010-05-27 00:00:00.005,1112.8065,0.000130318160555
2010-05-28 00:00:00.005,1112.8515,4.04382972243e-05
2010-05-31 00:00:00.005,1112.9857,0.000120591112112
2010-06-01 00:00:00.005,1113.0477,5.57060167081e-05
2010-06-02 00:00:00.005,1113.0931,4.07889077889e-05
2010-06-03 00:00:00.005,1113.1532,5.39936866017e-05
2010-06-04 00:00:00.005,1113.2011,4.30309143431e-05
2010-06-07 00:00:00.005,1113.3412,0.000125853271255
2010-06-08 00:00:00.005,1113.3891,4.30236480964e-05
2010-06-09 00:00:00.005,1113.4375,4.34708764436e-05
2010-06-10 00:00:00.005,1113.485,4.26606792028e-05
2010-06-11 00:00:00.005,1113.5294,3.98748074739e-05
2010-06-17 00:00:00.005,1113.7947,0.000238251455238
2010-06-18 00:00:00.005,1113.84,4.0671768325e-05
